ClothingCategoriesList,Genre_Code,NVC Genre,,Sizeroll,,ClothingCategoriesList,Genre_Code,NVC Genre,,ClothingCategoriesList,Genre_Code,NVC Genre,,Sizeroll
Boys - Coats & Jackets,3087,Boys,Outerwear,Kids,,,,,,,,,,
Boys - Hoodies & Sweats,3083,Boys,HoodiesSweats,Kids,,,,,,,,,,
Boys - Jeans,3084,Boys,Jeans,Kids,,,,,,,,,,
Boys - Knitwear,3085,Boys,Knitwear,Kids,,,,,,,,,,
Boys - Loungewear & Nightwear,3086,Boys,Loungewear,Kids,,,,,,,,,,
Boys - Shirts,3088,Boys,Shirts,Kids,,,,,,,,,,
Boys - Socks,3089,Boys,MaleSocks,Kids Footwear,,,,,,,,,,
Boys - Swimwear,3090,Boys,MaleSwimwear,Kids,,,,,,,,,,
Boys - Trousers & Shorts ,3091,Boys,Trousers,Kids,,,,,,,,,,
Boys - T-Shirts & Polos,3092,Boys,Tshirts,Kids,,,,,,,,,,
Boys - Underwear,3093,Boys,BoysUnderwear,Kids,,,,,,,,,,
Girls - Blouses,3065,Girls,Blouses,Kids,,,,,,,,,,
Girls - Coats & Jackets,3073,Girls,Outerwear,Kids,,,,,,,,,,
Girls - Dresses,3066,Girls,Dresses,Kids,,,,,,,,,,
Girls - Hoodies & Sweats,3068,Girls,HoodiesSweats,Kids,,,,,,,,,,
Girls - Hosiery,3069,Girls,Hosiery,Kids,,,,,,,,,,
Girls - Jeans,3070,Girls,Jeans,Kids,,,,,,,,,,
Girls - Knitwear,3071,Girls,Knitwear,Kids,,,,,,,,,,
Girls - Loungewear & Nightwear,3072,Girls,Loungewear,Kids,,,,,,,,,,
Girls - Skirts,3074,Girls,Skirts,Kids,,,,,,,,,,
Girls - Socks,5470,Girls,FemaleSocks,Kids Footwear,,,,,,,,,,
Girls - Swimwear,3075,Girls,FemaleSwimwear,Girls Swimwear,,,,,,,,,,
Girls - Tops,3076,Girls,WomenTops,Kids,,,,,,,,,,
Girls - Trousers & Shorts,3077,Girls,Trousers,Kids,,,,,,,,,,
Girls - T-Shirts,3078,Girls,Tshirts,Kids,,,,,,,,,,
Girls - Underwear,3079,Girls,GirlsUnderwear,Kids,,,,,,,,,,
Men - Coats & Jackets,3049,Men,Outerwear,Mens,,,,,,,,,,
Men - Hoodies & Sweats,3045,Men,HoodiesSweats,Mens,,,,,,,,,,
Men - Jeans,3046,Men,Jeans,Mens Trousers,,,,,,,,,,
Men - Knitwear,3047,Men,Knitwear,Mens,,,,,,,,,,
Men - Loungewear & Nightwear,3048,Men,Loungewear,Mens,,,,,,,,,,
Men - Shirts,3050,Men,Shirts,Mens Shirts,,,,,,,,,,
Men - Socks,5471,Men,MaleSocks,Mens Socks,,,,,,,,,,
Men - Swimwear,3052,Men,MaleSwimwear,Mens Lower,,,,,,,,,,
Men - Trousers & Shorts,3053,Men,Trousers,Mens Trousers,,,,,,,,,,
Men - T-Shirts & Polos,3054,Men,Tshirts,Mens,,,,,,,,,,
Men - Underwear,5472,Men,MensUnderwear,Mens Lower,,,,,,,,,,
Women - Blouses,3020,Women,Blouses,Womens,,,,,,,,,,
Women - Coats & Jackets,3028,Women,Outerwear,Womens,,,,,,,,,,
Women - Dresses,3021,Women,Dresses,Womens,,,,,,,,,,
Women - Hoodies & Sweats,3023,Women,HoodiesSweats,Womens,,,,,,,,,,
Women - Hosiery,3024,Women,Hosiery,Womens,,,,,,,,,,
Women - Jeans,3025,Women,Jeans,Womens Trousers,,,,,,,,,,
Women - Knitwear,3026,Women,Knitwear,Womens,,,,,,,,,,
Women - Loungewear & Nightwear,3027,Women,Loungewear,Womens Bodice,,,,,,,,,,
Women - Skirts,3029,Women,Skirts,Womens,,,,,,,,,,
Women - Socks,5473,Women,FemaleSocks,Womens Socks,,,,,,,,,,
Women - Swimwear,3030,Women,FemaleSwimwear,Womens Swimwear,,,,,,,,,,
Women - Tops,3031,Women,WomenTops,Womens,,,,,,,,,,
Women - Trousers & Shorts,3032,Women,Trousers,Womens Trousers,,,,,,,,,,
Women - T-Shirts,3033,Women,Tshirts,Womens,,,,,,,,,,
Women - Underwear,5474,Women,WomensUnderwear,Womens Bodice,,,,,,,,,,
Boys - Footwear,5139,Boys,Footwear,Kids Footwear,,,,,,,,,,
Boys - Boots,5140,Boys,Boots,Kids Footwear,,,,,,,,,,
Boys - Sandals,5141,Boys,Sandals,Kids Footwear,,,,,,,,,,
Boys - Shoes,5142,Boys,Shoes,Kids Footwear,,,,,,,,,,
Boys - Slippers,5143,Boys,Slippers,Kids Footwear,,,,,,,,,,
Boys - Wellies,5144,Boys,Wellies,Kids Footwear,,,,,,,,,,
Girls - Footwear,5146,Girls,Footwear,Kids Footwear,,,,,,,,,,
Girls - Boots,5147,Girls,Boots,Kids Footwear,,,,,,,,,,
Girls - Sandals,5148,Girls,Sandals,Kids Footwear,,,,,,,,,,
Girls - Shoes,5149,Girls,Shoes,Kids Footwear,,,,,,,,,,
Girls - Slippers,5150,Girls,Slippers,Kids Footwear,,,,,,,,,,
Girls - Wellies,5151,Girls,Wellies,Kids Footwear,,,,,,,,,,
Men - Footwear,5115,Men,Footwear,Mens Footwear,,,,,,,,,,
Men - Boots,5116,Men,Boots,Mens Footwear,,,,,,,,,,
Men - Casual Shoes,5117,Men,Casual Shoes,Mens Footwear,,,,,,,,,,
Men - Flip Flops,5118,Men,Flip Flops,Mens Footwear,,,,,,,,,,
Men - Plimsolls,5119,Men,Plimsolls,Mens Footwear,,,,,,,,,,
Men - Sandals,5120,Men,Sandals,Mens Footwear,,,,,,,,,,
Men - Slippers,5121,Men,Slippers,Mens Footwear,,,,,,,,,,
Men - Smart Shoes,5122,Men,Smart Shoes,Mens Footwear,,,,,,,,,,
Men - Trainers,5123,Men,Trainers,Mens Footwear,,,,,,,,,,
Men - Wellies,5124,Men,Wellies,Mens Footwear,,,,,,,,,,
Women - Footwear,5125,Women,Footwear,Womens Footwear,,,,,,,,,,
Women - Boots,5126,Women,Boots,Womens Footwear,,,,,,,,,,
Women - Casual Flats,5127,Women,Casual Flats,Womens Footwear,,,,,,,,,,
Women - Court Shoes,5128,Women,Court Shoes,Womens Footwear,,,,,,,,,,
Women - Flip Flops,5129,Women,Flip Flops,Womens Footwear,,,,,,,,,,
Women - Going Out Shoes,5130,Women,Going Out Shoes,Womens Footwear,,,,,,,,,,
Women - Pumps,5131,Women,Pumps,Womens Footwear,,,,,,,,,,
Women - Sandals,5132,Women,Sandals,Womens Footwear,,,,,,,,,,
Women - Shoe Boots,5133,Women,Shoe Boots,Womens Footwear,,,,,,,,,,
Women - Slippers,5134,Women,Slippers,Womens Footwear,,,,,,,,,,
Women - Snow Boots,5135,Women,Snow Boots,Womens Footwear,,,,,,,,,,
Women - Wellies,5137,Women,Wellies,Womens Footwear,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
